"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 29, 2016","1,986.72","1,985.99","1,986.72","1,970.53","-","-0.33%"
"Aug 26, 2016","1,993.35","1,984.68","1,997.10","1,976.87","-","0.39%"
"Aug 25, 2016","1,985.56","1,983.22","1,987.35","1,969.53","-","0.10%"
"Aug 24, 2016","1,983.59","1,988.08","1,989.43","1,974.89","-","-0.30%"
"Aug 23, 2016","1,989.51","1,976.07","1,992.55","1,973.43","-","0.53%"
"Aug 22, 2016","1,979.09","1,956.46","1,979.09","1,948.35","-","0.99%"
"Aug 19, 2016","1,959.72","1,972.89","1,974.40","1,959.72","-","-0.53%"
"Aug 18, 2016","1,970.07","1,971.26","1,976.71","1,961.35","-","0.04%"
"Aug 17, 2016","1,969.19","1,971.49","1,973.02","1,959.44","-","-0.33%"
"Aug 16, 2016","1,975.80","1,977.76","1,994.33","1,967.37","-","-0.07%"
"Aug 15, 2016","1,977.28","1,969.96","1,983.10","1,964.84","-","0.51%"
"Aug 12, 2016","1,967.18","1,955.16","1,968.18","1,952.56","-","0.77%"
"Aug 11, 2016","1,952.18","1,941.32","1,952.18","1,933.27","-","0.49%"
"Aug 10, 2016","1,942.67","1,956.33","1,959.99","1,940.63","-","-0.70%"
"Aug 09, 2016","1,956.42","1,954.05","1,964.58","1,948.89","-","-0.03%"
"Aug 08, 2016","1,956.99","1,948.51","1,956.99","1,947.22","-","0.65%"
"Aug 05, 2016","1,944.31","1,946.66","1,952.35","1,931.01","-","-0.03%"
"Aug 04, 2016","1,944.94","1,924.97","1,945.14","1,924.97","-","1.34%"
"Aug 03, 2016","1,919.15","1,913.14","1,922.86","1,902.74","-","0.34%"
"Aug 02, 2016","1,912.69","1,946.31","1,946.65","1,908.89","-","-1.78%"
"Aug 01, 2016","1,947.36","1,950.49","1,964.27","1,941.58","-","0.14%"
"Jul 29, 2016","1,944.62","1,952.82","1,955.07","1,939.28","-","-0.50%"
"Jul 28, 2016","1,954.45","1,938.01","1,959.86","1,932.63","-","0.81%"
"Jul 27, 2016","1,938.65","1,938.64","1,941.15","1,928.32","-","0.01%"
"Jul 26, 2016","1,938.52","1,932.54","1,940.26","1,917.96","-","0.35%"
"Jul 25, 2016","1,931.78","1,929.93","1,942.98","1,922.22","-","0.25%"
"Jul 22, 2016","1,926.90","1,923.80","1,933.76","1,922.85","-","-0.04%"
"Jul 21, 2016","1,927.70","1,920.01","1,930.79","1,911.87","-","0.66%"
"Jul 20, 2016","1,915.09","1,915.49","1,921.23","1,896.00","-","-0.04%"
"Jul 19, 2016","1,915.89","1,921.12","1,929.11","1,903.10","-","-1.04%"
"Jul 18, 2016","1,936.07","1,937.77","1,948.54","1,920.18","-","-0.25%"
"Jul 15, 2016","1,940.85","1,931.66","1,943.63","1,928.57","-","-0.08%"
"Jul 14, 2016","1,942.46","1,938.54","1,944.85","1,921.75","-","0.34%"
"Jul 13, 2016","1,935.88","1,937.35","1,945.76","1,928.50","-","-0.13%"
"Jul 12, 2016","1,938.36","1,913.84","1,942.69","1,911.91","-","1.32%"
"Jul 11, 2016","1,913.12","1,891.05","1,914.31","1,887.10","-","0.99%"
"Jul 08, 2016","1,894.35","1,873.49","1,896.82","1,860.55","-","0.63%"
"Jul 07, 2016","1,882.41","1,887.12","1,901.57","1,878.47","-","0.16%"
"Jul 06, 2016","1,879.42","1,892.26","1,896.71","1,871.47","-","-0.86%"
"Jul 05, 2016","1,895.64","1,904.03","1,904.06","1,887.05","-","-0.62%"
"Jul 04, 2016","1,907.48","1,899.35","1,913.48","1,896.40","-","0.57%"
"Jul 01, 2016","1,896.62","1,891.03","1,900.41","1,880.63","-","0.29%"
"Jun 30, 2016","1,891.09","1,886.47","1,897.36","1,879.33","-","0.16%"
"Jun 29, 2016","1,888.15","1,862.25","1,888.15","1,862.25","-","1.66%"
"Jun 28, 2016","1,857.23","1,850.75","1,863.53","1,844.80","-","0.84%"
"Jun 27, 2016","1,841.73","1,883.76","1,887.75","1,841.73","-","-2.26%"
"Jun 24, 2016","1,884.41","1,865.48","1,884.94","1,846.91","-","-1.82%"
"Jun 23, 2016","1,919.27","1,894.16","1,919.27","1,883.18","-","1.19%"
"Jun 22, 2016","1,896.70","1,908.06","1,912.96","1,892.16","-","-0.38%"
"Jun 21, 2016","1,904.02","1,902.44","1,910.25","1,884.64","-","0.07%"
"Jun 20, 2016","1,902.70","1,889.26","1,906.46","1,889.26","-","1.37%"
"Jun 17, 2016","1,877.07","1,875.96","1,896.28","1,871.88","-","0.39%"
"Jun 16, 2016","1,869.78","1,884.22","1,884.91","1,853.36","-","-1.06%"
"Jun 15, 2016","1,889.75","1,883.94","1,898.31","1,880.55","-","0.20%"
"Jun 14, 2016","1,885.92","1,898.21","1,903.54","1,875.27","-","-0.93%"
"Jun 10, 2016","1,903.61","1,926.91","1,930.26","1,903.61","-","-1.62%"
"Jun 09, 2016","1,934.92","1,951.80","1,952.42","1,927.72","-","-0.85%"
"Jun 08, 2016","1,951.55","1,953.75","1,960.75","1,937.62","-","0.01%"
"Jun 07, 2016","1,951.26","1,917.96","1,954.49","1,914.56","-","1.86%"
"Jun 06, 2016","1,915.54","1,893.05","1,920.91","1,893.05","-","1.52%"
"Jun 03, 2016","1,886.84","1,896.95","1,913.74","1,877.89","-","-0.21%"
"Jun 02, 2016","1,890.78","1,895.27","1,898.90","1,876.58","-","-0.13%"
"Jun 01, 2016","1,893.18","1,899.14","1,906.86","1,888.88","-","-0.31%"
"May 31, 2016","1,899.01","1,937.13","1,939.84","1,899.01","-","-1.89%"
"May 30, 2016","1,935.54","1,931.07","1,938.14","1,918.76","-","0.41%"
"May 27, 2016","1,927.58","1,913.18","1,930.80","1,910.11","-","0.69%"
"May 26, 2016","1,914.31","1,905.81","1,931.78","1,895.63","-","0.82%"
"May 25, 2016","1,898.75","1,889.42","1,910.70","1,889.42","-","0.78%"
"May 24, 2016","1,884.12","1,868.70","1,887.48","1,868.70","-","0.84%"
"May 23, 2016","1,868.43","1,889.11","1,889.11","1,861.64","-","-1.21%"
"May 20, 2016","1,891.33","1,901.27","1,903.58","1,882.16","-","-0.01%"
"May 19, 2016","1,891.52","1,907.71","1,913.70","1,891.52","-","-1.34%"
"May 18, 2016","1,917.24","1,907.15","1,921.21","1,899.12","-","0.43%"
"May 17, 2016","1,909.00","1,913.25","1,915.19","1,876.69","-","-0.33%"
"May 16, 2016","1,915.33","1,912.16","1,939.22","1,909.18","-","0.43%"
"May 13, 2016","1,907.19","1,901.51","1,907.19","1,881.41","-","0.28%"
"May 12, 2016","1,901.90","1,912.43","1,922.51","1,900.08","-","-0.37%"
