"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 01, 2004","1,294.62","1,329.04","1,344.59","1,291.54","-","-2.53%"
"Oct 29, 2004","1,328.22","1,305.21","1,331.12","1,302.29","-","1.82%"
"Oct 28, 2004","1,304.53","1,326.65","1,339.66","1,292.78","-","-1.66%"
"Oct 27, 2004","1,326.50","1,302.70","1,345.14","1,302.70","-","1.86%"
"Oct 26, 2004","1,302.22","1,267.14","1,302.66","1,250.06","-","2.76%"
"Oct 25, 2004","1,267.25","1,284.08","1,287.35","1,263.44","-","-1.36%"
"Oct 22, 2004","1,284.76","1,256.11","1,285.41","1,256.11","-","2.32%"
"Oct 21, 2004","1,255.66","1,242.95","1,260.50","1,230.03","-","1.08%"
"Oct 20, 2004","1,242.29","1,316.86","1,322.34","1,240.08","-","-5.66%"
"Oct 19, 2004","1,316.83","1,340.00","1,346.53","1,316.31","-","-1.70%"
"Oct 18, 2004","1,339.58","1,318.82","1,348.67","1,318.82","-","1.58%"
"Oct 15, 2004","1,318.73","1,341.04","1,341.04","1,302.31","-","-1.83%"
"Oct 14, 2004","1,343.36","1,328.15","1,359.56","1,312.23","-","1.14%"
"Oct 13, 2004","1,328.16","1,348.07","1,364.70","1,322.39","-","-1.48%"
"Oct 12, 2004","1,348.07","1,413.91","1,425.59","1,345.96","-","-4.65%"
"Oct 11, 2004","1,413.76","1,551.54","1,551.68","1,390.79","-","-8.88%"
"Oct 08, 2004","1,551.50","1,554.39","1,558.58","1,541.01","-","-0.18%"
"Oct 07, 2004","1,554.24","1,545.01","1,558.46","1,537.26","-","0.70%"
"Oct 06, 2004","1,543.38","1,508.72","1,544.19","1,503.89","-","2.33%"
"Oct 05, 2004","1,508.18","1,371.82","1,519.18","1,371.82","-","9.98%"
"Oct 04, 2004","1,371.30","1,348.03","1,384.90","1,345.72","-","1.75%"
"Oct 01, 2004","1,347.78","1,243.80","1,352.68","1,243.80","-","8.38%"
