02.07.2014,01.10.2014,GAZP,GMKN,LKOH,MGNT,MTSS,NVTK,ROSN,SBER,SBERP,VTBR
02.10.2014,12.01.2015,GAZP,GMKN,LKOH,MGNT,MTSS,ROSN,SBER,SBERP,SNGSP,VTBR
13.01.2015,01.04.2015,SBER,GAZP,VTBR,LKOH,GMKN,SNGSP,MGNT,ROSN,SBERP,MTSS
02.04.2015,01.07.2015,SBER,GAZP,LKOH,GMKN,VTBR,SNGSP,ROSN,MGNT,SNGS,SBERP
02.07.2015,01.10.2015,SBER,GAZP,VTBR,LKOH,GMKN,SNGSP,SBERP,MGNT,ROSN,SNGS
02.10.2015,11.01.2016,SBER,GAZP,LKOH,GMKN,SNGSP,VTBR,ROSN,MGNT,SNGS,MAGN
12.01.2016,01.04.2016,SBER,GAZP,LKOH,GMKN,VTBR,ROSN,MGNT,SBERP,SNGSP,MOEX
02.04.2016,01.07.2016,SBER,GAZP,LKOH,GMKN,ROSN,VTBR,MGNT,MOEX,SNGSP,SBERP
04.07.2016,03.10.2016,SBER,GAZP,LKOH,GMKN,ROSN,MGNT,VTBR,SNGSP,MOEX,SBERP
04.10.2016,09.01.2017,SBER,GAZP,SNGSP,LKOH,GMKN,VTBR,MGNT,MOEX,ROSN,ALRS
10.01.2017,31.03.2017,SBER,GAZP,LKOH,GMKN,MOEX,ROSN,VTBR,ALRS,MTLR,SNGSP
03.04.2017,30.06.2017,SBER,GAZP,LKOH,GMKN,MOEX,ROSN,HYDR,FEES,ALRS,MGNT
03.07.2017,21.09.2017,SBER,GAZP,LKOH,MOEX,ALRS,ROSN,GMKN,FEES,NLMK,SNGSP
22.09.2017,21.12.2017,SBER,GAZP,GMKN,LKOH,MOEX,ALRS,ROSN,VTBR,MGNT,AFLT
22.12.2017,15.03.2018,SBER,GAZP,MGNT,GMKN,MOEX,LKOH,VTBR,ROSN,ALRS,AFLT
16.03.2018,21.06.2018,SBER,GAZP,MGNT,GMKN,LKOH,VTBR,MOEX,ROSN,ALRS,AFLT
